"","Single-ended 1 Last (mbar)"
"1","15.198"
"2","15.195"
"3","15.194"
"4","15.191"
"5","15.189"
"6","15.187"
"7","15.184"
"8","15.184"
"9","15.181"
"10","15.180"
"11","15.177"
"12","15.177"
"13","15.173"
"14","15.170"
"15","15.169"
"16","15.167"
"17","15.166"
"18","15.163"
"19","15.161"
"20","15.160"
"21","15.158"
"22","15.155"
"23","15.153"
"24","15.149"
"25","15.148"
"26","15.146"
"27","15.143"
"28","15.143"
"29","15.140"
"30","15.138"
"31","15.138"
"32","15.138"
"33","15.133"
"34","15.130"
"35","15.129"
"36","15.128"
"37","15.126"
"38","15.125"
"39","15.121"
"40","15.120"
"41","15.121"
"42","15.120"
"43","15.119"
"44","15.119"
"45","15.116"
"46","15.113"
"47","15.113"
"48","15.111"
"49","15.106"
"50","15.103"
"51","15.104"
"52","15.101"
"53","15.099"
"54","15.097"
"55","15.096"
"56","15.093"
"57","15.096"
"58","15.093"
"59","15.090"
"60","15.089"
"61","15.087"
"62","15.087"
"63","15.087"
"64","15.084"
"65","15.082"
"66","15.081"
"67","15.078"
"68","15.077"
"69","15.078"
"70","15.076"
"71","15.074"
"72","15.073"
"73","15.072"
"74","15.070"
"75","15.069"
"76","15.066"
"77","15.065"
"78","15.064"
"79","15.064"
"80","15.061"
"81","15.056"
"82","15.056"
"83","15.057"
"84","15.055"
"85","15.054"
"86","15.053"
"87","15.052"
"88","15.051"
"89","15.052"
"90","15.051"
"91","15.047"
"92","15.047"
"93","15.047"
"94","15.046"
"95","15.043"
"96","15.041"
"97","15.041"
"98","15.040"
"99","15.039"
"100","15.037"
"101","15.034"
"102","15.034"
"103","15.031"
"104","15.030"
"105","15.032"
"106","15.029"
"107","15.027"
"108","15.025"
"109","15.026"
"110","15.024"
"111","15.024"
"112","15.023"
"113","15.019"
"114","15.020"
"115","15.021"
"116","15.021"
"117","15.022"
"118","15.021"
"119","15.021"
"120","15.020"
"121","15.016"
"122","15.016"
"123","15.014"
"124","15.015"
"125","15.012"
"126","15.013"
"127","15.009"
"128","15.010"
"129","15.009"
"130","15.008"
"131","15.007"
"132","15.009"
"133","15.008"
"134","15.007"
"135","15.004"
"136","15.004"
"137","15.001"
"138","14.999"
"139","14.996"
"140","14.996"
"141","14.995"
"142","14.989"
"143","14.990"
"144","14.992"
"145","14.991"
"146","14.990"
"147","14.987"
"148","14.987"
"149","14.985"
"150","14.985"
"151","14.983"
"152","14.985"
"153","14.982"
"154","14.981"
"155","14.978"
"156","14.981"
"157","14.979"
"158","14.976"
"159","14.975"
"160","14.975"
"161","14.976"
"162","14.974"
"163","14.971"
"164","14.971"
"165","14.973"
"166","14.969"
"167","14.968"
"168","14.966"
"169","14.967"
"170","14.970"
"171","14.966"
"172","14.962"
"173","14.965"
"174","14.962"
"175","14.963"
"176","14.960"
"177","14.962"
"178","14.958"
"179","14.961"
"180","14.956"
"181","14.959"
"182","14.955"
"183","14.956"
"184","14.953"
"185","14.954"
"186","14.952"
"187","14.955"
"188","14.952"
"189","14.952"
"190","14.951"
"191","14.948"
"192","14.951"
"193","14.949"
"194","14.947"
"195","14.946"
"196","14.944"
"197","14.943"
"198","14.943"
"199","14.942"
"200","14.941"
"201","14.938"
"202","14.940"
"203","14.940"
"204","14.940"
"205","14.937"
"206","14.937"
"207","14.937"
"208","14.936"
"209","14.937"
"210","14.936"
"211","14.935"
"212","14.934"
"213","14.933"
"214","14.933"
"215","14.930"
"216","14.930"
"217","14.928"
"218","14.930"
"219","14.929"
"220","14.926"
"221","14.926"
"222","14.926"
"223","14.925"
"224","14.924"
"225","14.923"
"226","14.923"
"227","14.922"
"228","14.920"
"229","14.921"
"230","14.920"
"231","14.920"
"232","14.919"
"233","14.917"
"234","14.917"
"235","14.916"
"236","14.916"
"237","14.916"
"238","14.914"
"239","14.914"
"240","14.910"
"241","14.910"
"242","14.910"
"243","14.911"
"244","14.912"
"245","14.910"
"246","14.908"
"247","14.906"
"248","14.904"
"249","14.903"
"250","14.904"
"251","14.902"
"252","14.904"
"253","14.904"
"254","14.903"
"255","14.904"
"256","14.902"
"257","14.902"
"258","14.901"
"259","14.900"
"260","14.900"
"261","14.897"
"262","14.898"
"263","14.897"
"264","14.895"
"265","14.895"
"266","14.894"
"267","14.893"
"268","14.893"
"269","14.893"
"270","14.891"
"271","14.893"
"272","14.890"
"273","14.891"
"274","14.889"
"275","14.888"
"276","14.886"
"277","14.887"
"278","14.886"
"279","14.886"
"280","14.884"
"281","14.883"
"282","14.883"
"283","14.880"
"284","14.882"
"285","14.881"
"286","14.879"
"287","14.880"
"288","14.878"
"289","14.878"
"290","14.879"
"291","14.875"
"292","14.876"
"293","14.878"
"294","14.873"
"295","14.873"
"296","14.873"
"297","14.874"
"298","14.872"
"299","14.871"
"300","14.872"
"301","14.869"
"302","14.869"
"303","14.871"
"304","14.869"
"305","14.869"
"306","14.868"
"307","14.869"
"308","14.866"
"309","14.866"
"310","14.863"
"311","14.863"
"312","14.863"
"313","14.866"
"314","14.865"
"315","14.863"
"316","14.862"
"317","14.863"
"318","14.864"
"319","14.862"
"320","14.859"
"321","14.858"
"322","14.856"
"323","14.856"
"324","14.855"
"325","14.854"
"326","14.855"
"327","14.854"
"328","14.853"
"329","14.853"
"330","14.853"
"331","14.854"
"332","14.853"
"333","14.853"
"334","14.851"
"335","14.850"
"336","14.851"
"337","14.849"
"338","14.848"
"339","14.846"
"340","14.845"
"341","14.845"
"342","14.846"
"343","14.841"
"344","14.843"
"345","14.844"
"346","14.845"
"347","14.842"
"348","14.842"
"349","14.840"
"350","14.842"
"351","14.842"
"352","14.841"
"353","14.840"
"354","14.838"
"355","14.838"
"356","14.840"
"357","14.839"
"358","14.835"
"359","14.839"
"360","14.835"
"361","14.836"
"362","14.835"
"363","14.834"
"364","14.833"
"365","14.832"
"366","14.832"
"367","14.829"
"368","14.826"
"369","14.826"
"370","14.828"
"371","14.827"
"372","14.825"
"373","14.825"
"374","14.825"
"375","14.820"
"376","14.822"
"377","14.825"
"378","14.823"
"379","14.818"
"380","14.820"
"381","14.818"
"382","14.819"
"383","14.818"
"384","14.817"
"385","14.816"
"386","14.816"
"387","14.815"
"388","14.814"
"389","14.815"
"390","14.815"
"391","14.814"
"392","14.811"
"393","14.812"
"394","14.812"
"395","14.813"
"396","14.812"
"397","14.812"
"398","14.809"
"399","14.812"
"400","14.812"
"401","14.809"
"402","14.809"
"403","14.809"
"404","14.806"
"405","14.808"
"406","14.805"
"407","14.804"
"408","14.802"
"409","14.803"
"410","14.803"
"411","14.801"
"412","14.801"
"413","14.802"
"414","14.802"
"415","14.800"
"416","14.800"
"417","14.799"
"418","14.798"
"419","14.797"
"420","14.796"
"421","14.793"
"422","14.793"
"423","14.793"
"424","14.794"
"425","14.794"
"426","14.791"
"427","14.790"
